               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 122,            0.018324,           0.0069036,           0.0096437,             0.94695,                   1,               0.995,             0.79487,            0.010979,           0.0030463,           0.0044839,           0.0040105,           0.0040105,           0.0040105
                 123,            0.019585,           0.0067364,            0.010772,             0.94406,             0.99573,             0.99346,             0.79095,            0.011273,           0.0030546,           0.0058251,            0.003961,            0.003961,            0.003961
                 124,            0.018818,            0.006849,            0.010567,             0.95389,                   1,               0.995,             0.79181,            0.010938,           0.0031233,           0.0039317,           0.0039115,           0.0039115,           0.0039115
                 125,            0.019368,           0.0070719,            0.011902,             0.95673,                   1,               0.995,             0.81022,             0.01216,           0.0031245,            0.003622,            0.003862,            0.003862,            0.003862
                 126,            0.018235,           0.0070959,            0.011549,             0.95497,                   1,               0.995,             0.80719,            0.011412,           0.0031339,           0.0035364,           0.0038125,           0.0038125,           0.0038125
                 127,            0.019092,           0.0066225,            0.010645,             0.94483,                   1,               0.995,              0.7764,            0.011554,           0.0031877,           0.0035757,            0.003763,            0.003763,            0.003763
                 128,            0.020434,           0.0067618,            0.010274,             0.94484,                   1,               0.995,             0.72942,            0.013389,           0.0032794,           0.0038714,           0.0037135,           0.0037135,           0.0037135
                 129,            0.018508,           0.0076106,            0.010582,             0.95105,             0.99477,               0.995,             0.77683,            0.012196,           0.0031992,           0.0040951,            0.003664,            0.003664,            0.003664
                 130,            0.017897,           0.0067828,            0.010429,             0.95036,             0.98817,               0.995,             0.79526,            0.011312,           0.0031611,           0.0042593,           0.0036145,           0.0036145,           0.0036145
                 131,            0.018198,           0.0073767,           0.0098392,              0.9479,                   1,               0.995,             0.79622,             0.01092,           0.0030481,           0.0038258,            0.003565,            0.003565,            0.003565
                 132,            0.019823,           0.0068283,            0.013309,             0.94099,                   1,               0.995,             0.79619,            0.011393,           0.0031176,           0.0036643,           0.0035155,           0.0035155,           0.0035155
                 133,            0.018045,           0.0068803,            0.013663,             0.93257,                   1,               0.995,             0.79829,            0.010678,           0.0029937,           0.0037312,            0.003466,            0.003466,            0.003466
                 134,            0.018341,           0.0070438,            0.011568,             0.91603,                   1,               0.995,             0.81832,            0.010995,           0.0029539,           0.0035002,           0.0034165,           0.0034165,           0.0034165
                 135,            0.017441,           0.0068718,           0.0099447,             0.93574,                   1,               0.995,             0.79732,            0.010286,           0.0029272,           0.0031637,            0.003367,            0.003367,            0.003367
                 136,            0.018387,           0.0077645,            0.010004,              0.9388,                   1,               0.995,             0.79084,            0.010804,           0.0029829,           0.0030975,           0.0033175,           0.0033175,           0.0033175
                 137,            0.018456,           0.0072179,            0.011228,             0.91699,                   1,               0.995,             0.80938,            0.010838,           0.0029379,           0.0031246,            0.003268,            0.003268,            0.003268
                 138,            0.016676,           0.0069952,            0.010668,             0.92486,                   1,               0.995,             0.80522,            0.010922,           0.0028853,           0.0033871,           0.0032185,           0.0032185,           0.0032185
                 139,            0.017998,           0.0070556,           0.0090531,             0.93507,              0.9944,             0.99346,             0.78628,            0.011046,           0.0029484,            0.005559,            0.003169,            0.003169,            0.003169
                 140,            0.018647,           0.0069109,           0.0091315,             0.94487,             0.99362,             0.99019,              0.7826,            0.011079,           0.0030289,           0.0066908,           0.0031195,           0.0031195,           0.0031195
                 141,            0.019485,            0.007403,            0.011387,             0.95201,             0.99418,             0.99346,             0.80722,             0.01064,           0.0030939,           0.0059268,             0.00307,             0.00307,             0.00307
                 142,            0.018053,           0.0064943,            0.014086,             0.96488,                   1,               0.995,              0.8039,            0.011642,           0.0031125,           0.0035082,           0.0030205,           0.0030205,           0.0030205
